text
"雪落山庄不是一座山庄，,"
"只是一个客栈，,"
"还是个很破很破的客栈，,"
"方圆百里也只有这一家客栈。.,"
它背靠一座高山，面朝一条大河。.
"翻越那座山需要很久，,"
"越过那条河也并不容易，,"
"所以成了赶路人中途歇息的必选之地。.,"
"

但是这几个月，雪落山庄的生意并不是很好。."
"因为正如它的名字，,"
"一场雪落了很久很久，,"
"阻挡了来路，,"
"封住了去处。.,"
"萧瑟穿着白色的裘皮大衣靠在门口，,"
"看着窗外漫天飞舞的雪花，,"
"轻轻叹了一口气。.,"
"

这一声，叹得如同他的名字一般萧瑟。."
"

三三两两的小二正趴在桌上打盹儿，,"
"偶尔醒过来也是给冻醒的，,"
"猛地哆嗦一下，,"
"惊醒过来，,"
"扫视一圈，,"
"却见依旧只有那个自负风雅的老板靠在那里看雪，,"
"于是裹了裹身上破旧的大衣，,"
"继续睡去了。.,"
当然他们也会忍不住在
心里抱怨几句：本来店
里还有几个不愿在风雪
"天赶路而打算住下来的客人，,"
"但因为老板一直舍不得出钱整修客栈，,"
"以至于每间客房都是漏风的，,"
"客人们冻了几天后便宁愿挨风雪吹刮的苦也毅然上路了。.,"
"

这位名叫萧瑟的老板曾经训诫他们：“咱们这客栈，,"
"背靠青山，,"
"面朝绿水，,"
"如果房间再多些颓败感，,"
"就更显风雅了，,"
"这才是旅途中人热衷的感觉。.,"
"”

小二不懂，,"
问：“那究竟是什么感
"觉？”

萧瑟故作高"
"深地摇了摇头：“唉，,"
"自然是在路上的感觉啊。.,"
"”

小二似懂非懂地点了点头。."
"

直到有一天，,"
"一个赶路的大汉大半夜实在受不住被风吹得吱嘎吱嘎响的窗户，,"
"一拳把房间打出了一个大窟窿。.,"
然后，被老板留下罚做了一个月的苦力。.
那大汉倒不是没有反抗，只是他刚举起拳头，就被萧瑟打出了门。.
"他刚站起来，,"
"就见萧瑟顺手抄起一根棍子，,"
"那根棍子还没打下去，,"
"大汉就跪倒在地了。.,"
"

其实，关于那根棍子究竟有没有打下去，小二们是有争议的。."
"有一位眼尖的小二说，,"
"他仿佛看到那根棍子微微抖动了一下，,"
"舞出了虚虚幻幻数朵棍花，,"
"那一瞬间，,"
"这个摇摇欲坠的客栈几乎都抖了一抖。.,"
"但是那个汉子毕竟还是毫发无损的，,"
"所以谁也不能确定那根棍子是不是真的打了下去。.,"
只是那一个月的时间，他一句话都没再敢多说。.
别人问他，他就跑。.
"

萧瑟叹完一口气后就开始算账，,"
"他琢磨着把客栈卖掉，,"
"毕竟百里之外鸿路镇上的李员外早前也提过几次，,"
"可现在就算他想买，,"
"也得先找着他的人才行。.,"
"或者先辞退几个小二，,"
"可这天寒地冻的，,"
"几个没什么功夫底子的小二辞退了以后怕是没有别的去处。.,突然，,"
"萧瑟脑中灵光一闪，,"
"既然辞退了小二后他们无处可去，,"
"不就得住下了？住下了就是客官，,"
"就得掏银子啊。.,"
问题不就解决了吗？萧瑟脸上不禁露出了欣慰的笑容。.
"

正当他想明白此事，,"
"心中大为舒畅的时候，,"
"突然看到不远的地方似乎有一团红色闪了一下。.,"
他眨了眨眼睛，想是自己看错了，可那红色却分明越来越明显了。.
他再眨了眨眼睛，便懒洋洋地喊道：“来客人了。.
"”

这一声虽然喊得懒洋洋的，,"
"但所有小二都吓得瞬间站了起来。.,"
"

那团红色此时却已闪到了萧瑟的面前。."
"

“这位客官，,"
"打尖还是……”

那团红色已经飘过了萧瑟的身边。.,"
"

萧瑟只觉这雪下得更萧瑟了。."
